ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{56045cb6-a4c3-4ed9-a5f1-5697f5fe3d1d}\" DisplayName=\"Qnty Auth\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Text\" />","<Field ID=\"{2e9f2528-88b9-4f9e-90c0-8029d6353740}\" DisplayName=\"Minimum Required\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Number\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;flex-wrap&quot;:&quot;wrap&quot;,&quot;display&quot;:&quot;flex&quot;},&quot;children&quot;:[{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;4px 8px 5px 8px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;display&quot;:&quot;flex&quot;,&quot;border-radius&quot;:&quot;16px&quot;,&quot;height&quot;:&quot;24px&quot;,&quot;align-items&quot;:&quot;center&quot;,&quot;white-space&quot;:&quot;nowrap&quot;,&quot;margin&quot;:&quot;4px 4px 4px 4px&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;No Change&quot;]},&quot;sp-css-backgroundColor-BgGreen sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Ordered&quot;]},&quot;sp-css-backgroundColor-BgTeal sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Soon&quot;]},&quot;sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont sp-css-color-GoldFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Now&quot;]},&quot;sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,&quot;sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary&quot;]}]}]}]}]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;@currentField&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;No Change&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Ordered&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Soon&quot;]},&quot;sp-css-color-GoldFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Now&quot;]},&quot;sp-css-color-WhiteFont&quot;,&quot;&quot;]}]}]}]}]}}}]}],&quot;templateId&quot;:&quot;BgColorChoicePill&quot;}\" DisplayName=\"Status\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_3\" Title=\"Status\" Type=\"Choice\" ID=\"{d21ec301-3d50-4db1-9460-05ab91ddbcef}\" StaticName=\"field_3\"><CHOICES><CHOICE>No Change</CHOICE><CHOICE>Ordered</CHOICE><CHOICE>Order Soon</CHOICE><CHOICE>Order Now</CHOICE></CHOICES></Field>","<Field ID=\"{8835679c-083a-4438-b07a-c42958b96007}\" DisplayName=\"Qnty on Hand\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{9e586e21-9a64-4124-810a-af7bb7e3fbf2}\" DisplayName=\"Amount//Date//Priority\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{7d2c6a28-6b71-4b9d-9d25-426aa7ddc34c}\" DisplayName=\"Location\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{57207f5a-5b2e-4ced-8953-ec4c43567aea}\" DisplayName=\"Last Inventory Date\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" />","<Field ID=\"{3fe1e1c2-0c66-48eb-a059-60deb3c85e68}\" DisplayName=\"NSN\" Name=\"field_8\" StaticName=\"field_8\" Type=\"Note\" />","<Field DisplayName=\"Issued TO:\" Format=\"Dropdown\" IsModern=\"TRUE\" List=\"UserInfo\" Name=\"IssuedTO_x003a_\" Title=\"Issued TO:\" Type=\"User\" UserDisplayOptions=\"NamePhoto\" UserSelectionMode=\"0\" UserSelectionScope=\"0\" ID=\"{d283e98e-6897-4757-a05e-ffa797d6aea1}\" StaticName=\"IssuedTO_x003a_\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Item\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Item","Qnty Auth","Minimum Required","Status","Qnty on Hand","Amount//Date//Priority","Location","Last Inventory Date","NSN","Issued TO:"
"Paper Test- Potassium Iodide Starch","2","10",,"24",,"C-WD FRONT","3/3/2026","6640-01X01-0356",
"Parafilm ","2 Rolls","0",,"8 rolls",,"C-SHELF-3","4/2/2026","6640016295924",
"Puppy Pads",,"0",,"1000",,"C- SHELF-2","3/3/2026",,
"Pipette 2ml (stripette)",,"0",,"3000 (50 per bag)",,"C-SHELF-3","3/3/2026",,
"Pipette, Fast Release Pump 2ml","24","0",,"8",,"C-SHELF-3","3/3/2026",,
"Pipette, Fast Release Pump 10ml",,"0","Order Now","3",,"C-Shelf 3","3/9/2026",,
"pH  Paper 0-13 Jumbo Roll",,"0","No Change","4",,"C-WD FRONT ","3/3/2026",,
"pH Paper - Small Strips",,"4",,"15",,"C-WD FRONT ","3/3/2026",,
"pH Paper Jumbo",,"2",,"2",,"C-WD FRONT ","3/3/2026","6640-01-345-0909",
"Paper PH 0-14 Small strips ",,"0",,"3 Bottles (100ct) EX(01OCT25) 3 Bottles EX (12/1/2026) 2 Bottles EX (3/15/2028)",,"C-WD FRONT ","3/3/2026",,
"Paper, KI",,"0",,"14",,"C-WD FRONT ","3/3/2026",,
"Paper Test M9 ",,"0",,"23",,"C-WD FRONT ","3/5/2026",,
"Paper Test M8",,"0",,"34",,"C-WD FRONT ","3/5/2026","6665000508529",
"Power Converter",,"0","No Change","2",,"I REAR",,,
"RSDL Active single packet (42ml)","6","30","No Change","0","15/10JUL25/12","C-SHELF-1","4/2/2026",,
"RSDL Active  21ML(3 pouches per packet)","20","20",,"14 Pack 42 singles ",,"C-SHELF-1","4/14/2026","6505015075074",
"Rescue Tool",,"2","No Change","8",,,,,
"Suit, Level A , FLASH Frontline 500 (RW)","36","36",,,,"I- REAR WALL",,,
"Suit - Level A Training","12","0","Order Soon","SMMD 5 / LGXL 13",,"A-SHELF-2","3/3/2026",,
"Suit, LEVEL B Blauer RW -","24","24","No Change","5",,"A-SHELF-2",,,
"Suit-RW Lion",,"0",,"XL 2 / LG 4 / XXL 0",,"A-SHELF-2","3/3/2026",,
"Suit, Boots Orange ",,"0","No Change","11x4 / 12x5 / 13x8 / 7x2 /8x1 9x1 /10x1",,"I- REAR WALL",,,
"Suit, Chemical Protective Boots Green ","36","36",,"15x5 / 14x3 / 12x8 / 11x6 / 10x5 / 9x3 / 8x1 ",,"I- REAR WALL",,,
"Suit, Gloves Outer Butyl ","38","38","No Change","15 L 16M","12/24JUL25/12","B-SHELF-4",,,
"Suit-Training Lion - MT94 Rear Zip",,"0","Ordered","SM 0 / MD 3 / L 1 / XL 11 / XXL 0","MD 1, LG 5, XL 1/27APR26/12","I REAR","4/27/2026","SM - 841501D185489 / MD - 841501D185488 / LG - 841501D182982 / XL - 841501D185490",
"Suit - Tyvek XL",,"0","No Change","XL-18   113",,"A-SHELF-1",,,
"Suit, Glove Inner Yellow","38","38",,,,"B-SHELF-4",,,
"SUIT, LEVEL B, NFPA 1992-2018 EDITION","3","0",,"1 Lg-Xl",,"A-SHELF-2","1/21/2026",,
"Suit - Tyvek 2XL - 3XL",,"0","No Change","11",,"A-SHELF 1",,,
"Suit - Tyvek boots",,"0","No Change","50",,"I- REAR WALL",,,
"Suit,Frontline 500 Level A Disk Valve","36","0",,,,,,"4820-01-627-7369",
"Suit - Z 500 Training ",,"0",,"LGXL 22/ SMMD 10",,"I REAR",,,
"Suit: XRT ensemble ","22","0",,"XL-11 L-11",,"A-SHELF-2","11/13/2025",,
" Swabs, Cotton tips Sterile",,"0","No Change","5700","6/02MAR26/12","C- SHELF 2","4/22/2026","Ref#25-806 1WC BT ",
"Sampling Kits - Liquid (RW)","20","5","No Change","30","30/25 OCT/12","C- SHELF-3","4/14/2026",,
"Sampling Kits - Bio (RW)","20","5","No Change","8","15/15 JUL 25 12","C- SHELF-3","4/14/2026",,
"Sampling Kits - Solid (RW)","20","5","No Change","18",,"C- SHELF-3","4/14/2026",,
"Sampling Kits - Wipe (RW)","20","5","No Change","13","20/25 OCT/12","C- SHELF-3","4/14/2026",,
"Sampling Kits - Bio (training)",,"0","No Change","22",,"C- SHELF-3","4/14/2026",,
"Sampling Kits - Liquid (training)","30","5","No Change","15",,"C- SHELF-3","4/14/2026",,
"Sampling Kits - Solid (training)","30","5","No Change","25",,"C- SHELF-3","4/14/2026",,
"Sensor - PID 10.6eV ",,"4",,"4",,"C-WD FRONT","3/19/2026","SCA3A50044BA",
"Swabs, Cotton tips Non Sterile ",,"0",,"25000",,"C-Shelf 2","3/3/2026","6640-01-X01-4040",
"Sensor-Dummy PGM-50 WARAE",,"0","No Change","10",,"C-WD FRONT","4/14/2026",,
"Sensor - Dummy 4R Plus ","8","16",,"9",,"C- WD- Front ","4/14/2026",,
"Sensor - Gamma 4R+","8","24","No Change","5",,"C-WD FRONT","4/20/2026",,
" Lamp,7r+PID 10.6eV PPB (MultiRae)","8","24",,"4",,"C-WD FRONT","4/14/2026","598001X014821",
"Sensor-H2S","0","0",,"4",,"C-WD FRONT","4/14/2026",,
"Sensor - PID 11.7eV","8","24",,"2","Not able to order","C-WD FRONT","4/14/2026",,
"Sensor - O2","8","24","No Change","11","10/10MAR26/02","C-WD FRONT","4/20/2026","6665016093499",
"Sensor - SO2","8","24",,"13",,"C-WD FRONT","4/20/2026","	666501X013231",
"Sensor - CO / H2S","8","24",,"11",,"C-WD FRONT","4/14/2026",,
"Sensor - PH3-20","8","24",,"5",,"C-WD FRONT","4/14/2026",,
"Sensor - HCN","8","24",,"9",,"C-WD FRONT","4/14/2026",,
"Sensor - CL2 4R+","8","24",,"6",,"C-WD FRONT","4/14/2026",,
"Sensor - LEL 4R+ ","8","24","No Change","12","10/19MAR26/02","C-WD FRONT","4/20/2026","6665016093541",
"Sensor - NH3","8","24",,"11",,"C-WD FRONT","4/14/2026","6665016091302",
"Calibration Adapters (Area)","5","5",,,,"E-GREEN DRAWER FRONT",,,
"Spatula, Sampling Micro","3 Boxes","9","Ordered","0","3/15APR/12","E- GREEN DRAWER FRONT","11/20/2025","6640016081305",
"Calibration Cap","15","15",,,,"E- GREEN DRAWER FRONT",,"5340-01-619-2812
665-01-X01-3329",
"Multi Gas Regulator","7","15",,,,"E- GREEN DRAWER FRONT",,"6650-01-627-8633",
"Hand Held Assay","6","12",,,,"H- TRAINING CABINET",,"5-15-32277",
"Disposable Pipette","20","60",,,,"C-SHELF 2",,"6630-01-X01-3289",
"Syinge Blunt Tip Needle","12","24",,,,"E-GREEN DRAWER FRONT",,"6515015587024",
"VOC Zeroing Tube",,"0",,"2",,"E- GRAY DRAWER FRONT",,,
"Swab, Dacron DUAL SWAB",,"0","No Change","100","1 Box/15APR26/12","C-SHELF-2","4/22/2026","666501X011314",
"Sponge - surgical 4x4 USP Type II",,"0","No Change","75",,"C-SHELF-2","11/26/2025",,
"Applicator Macro Foam Swab ",,"0",,"25",,"C-SHELF-2","3/3/2026","651015587496",
"Sponge - Gauze 2x2 dermacea",,"0","No Change","2000",,"B-SHELF-3","11/26/2025",,
"Head Lamp 9 Led",,"0",,"3",,"B-SHELF-3","3/3/2026",,
"Sieve Pack - JCAD","20","0","No Change","12","2/10JUL25/12","C-SHELF-1","4/14/2026",,
"Pipette, Fast Release Pymp 10ml",,"0",,"3",,"C-SHELF- 2","3/3/2026",,
"Shears- Certified Clean",,"2","No Change","14",,"C -SHELF-3","4/2/2026",,
"Sampling Cooler, Vaccine Carry Case ","2","0",,,,,,"6515014758145",
"Shears- Training ",,"2","No Change","12","6/7-26-2024","C -SHELF-3",,,
"Sampling Cooler, Coolant Pack","2","0",,,,,,"4110015187657",
"Safety Knife J Hooks",,"2","No Change","0",,"C -SHELF-3",,,
"Calibration Adapters","5","0",,,,"E-GRAY DRAWER FRONT",,"5935016278643",
"Spray bottle multi purpose",,"0",,"1",,"C -SHELF-3","9/9/2025",,
"Isobutylene Regulator ","2","0",,,,"E-Gray Drawer Front ",,"4820016282047",
"Drager Head Harness nomex",,"0","Order Now","1",,,"4/2/2026","Drager Part no: 4057102
Head Harness, 4 Pull Black Nomex",
"Sampling Spatula/scoopula",,"0",,"43",,"C-SHELF-3","9/9/2025",,
"Sensor-Area Rae 10.6EV, 7R+PID ",,"0",,"2",,"C- WD- Front ","3/19/2026",,
"sample bag 3x4 4mil",,"0",,"1000",,"C-SHELF-3","9/9/2025",,
"Sensor, Electrode PID",,"0",,"4",,"C-WD- Front","3/19/2026",,
"sample bag 4x6 2mil",,"0",,"900",,"C-SHELF-3","9/9/2025",,
"Butyl Gloves  M  - Honeywell ",,"0",,"12 pairs",,"B-Shelf 3","3/9/2026","B144RGI/M",
"Sponge Stick dry  ",,"0",,"22 ( Exp 28Oct2017)",,"C-SHELF-3","8/20/2025",,
"Butyl Gloves, Black Hazmat 14""L , Rough Grip, 14MIl Thick ",,"0",,"8 Pairs ",,"B-Shelf 5","3/9/2026","841501X014399",
"suture removal kit sterile ",,"0",,"46",,"C-SHELF-3","3/3/2026",,
"Pipette 10ml (stripette)",,"0","Order Now","0",,"C-Shelf-3 ","4/2/2026",,
"SASS 3010 Extraction Kit ",,"0",,"14",,,,,
"RAE LINK WIRING",,"0",,"0",,,,"Cable, Aten USB to serial converter 
6665-01-X01-3527
Cable, Computer, Interface
5995-01-x01-4513",
"SLA Swab Assembly",,"0",,"30 single",,"E-GREEN DRAWER FRONT","1/24/2025",,
"Swabs, Cotton Tips Sterile PURITAN 6"" ",,"0","No Change","500","1 Box/15APR26/12",,,"651501X015283",
"Sampling Kits - NIDS ",,"0",,"8  [Exp 8 (10 Nov 2017)]",,,"8/20/2025",,
"Biomeme BW Panel","1","1",,"1",,"training room","4/20/2026",,
"Biomeme BW Training Panel","2","2",,"2",,"training room","4/20/2026",,
"syringes 30ml","2","30",,"12",,"E- GREEN DRAWER FRONT","3/3/2026","6640016296031",
"Tedlar 1L Bag (10 per box)",,"1","No Change","5",,"C-SHELF 3",,,
"Tube 15 mL High Clarity Polypropylene Conical ",,"0",,"  37",,"C-SHELF 3","1/29/2026",,
" Tornado Tubes -15 mL",,"0",,"100 (50 pk)",,"C-SHELF 3","1/29/2026",,
"Tamper Security Seals ",,"0",,"300 ",,"E- GREEN DRAWER FRONT",,,
"transfer pippete",,"0",,"2500",,"C-SHELF-2 ",,,
"Thermal Desorption Tubes ",,"0",,"40  (1 box) ",,"E-SHELF-2","3/3/2026",,
"Ultra Barrier Glove Liner  (Lion)",,"0",,"12",,"B-SHELF-4",,,
"Vial Sample 40ml head space ",,"0",,"200 (100 pk)",,"E- GRAY DRAWER FRONT",,,
"Wash Bottle (Squeeze)",,"0",,"1",,"C-SHELF 3","3/3/2026",,
"Work Glove",,"2","No Change","0",,,,,
"Wipes, HYPE",,"3",,"1Box EXP(08Oct26) 30 in bag",,"C-SHELF-1","3/3/2026",,
"Wipe,Fibertect Cotton pad",,"0",,"5",,"C-SHELF-1","3/3/2026",,
"Wipes - Alcohol prep pads (box)",,"0","Order Now","0",,"C-SHELF-1","4/2/2026","6510-01-425-0026
6665-01-X01-0415",
"Wipes - Anti fog (box)",,"0","No Change","3 BOX (400)",,"A-SHELF-1 ","6/27/2023",,
"Wipes - 3M Respirator",,"0","No Change","1 (100 per)",,"A-SHELF-1 ","6/27/2023",,
"Wipes - KimTech Delicate XL 280ct",,"0","No Change","1 (boxes)",,"A-SHELF-1 ","8/25/2025",,
"Wipes - Sani-Cloth Germicidal Disposable  50ct",,"0",,"6(boxes)",,"C-SHELF-1","8/25/2025",,
